donorID,proba_donation
141589,0.98040966
126462,0.980388989
137344,0.980360276
123160,0.980341918
109863,0.980337487
144648,0.980292556
110083,0.980263215
107873,0.980213697
106895,0.980183976
134634,0.980165794
142709,0.980133784
102791,0.980049382
103345,0.980000164
117619,0.979964947
104358,0.979960559
118907,0.979908433
109230,0.97985925
111649,0.979807376
127610,0.979689133
109609,0.979651377
112985,0.979536488
134070,0.979388759
118685,0.979324059
117464,0.979323426
132351,0.979311322
128267,0.979268479
112359,0.979249473
129834,0.979241008
107511,0.979125479
140249,0.979104418
121163,0.978966412
122675,0.978950425
111546,0.978924083
128264,0.978910233
115077,0.978825579
117509,0.978738279
126396,0.978655081
100598,0.978619063
108589,0.978521027
109508,0.97833458
109207,0.97828463
104299,0.978220638
125121,0.978154497
132973,0.978126413
112246,0.978048365
137533,0.977997942
115756,0.977903195
129098,0.977877716
107961,0.977843395
119058,0.97783276
139898,0.977824465
118614,0.977717625
144221,0.977701865
144389,0.977666765
102701,0.977650357
122120,0.977643228
111013,0.977587103
100778,0.977543484
137070,0.97750801
117661,0.97748204
136961,0.977391674
132744,0.977303015
108697,0.97724726
105897,0.977225037
143759,0.977223984
131537,0.977153255
116968,0.977018287
125466,0.976906008
123467,0.976896543
136647,0.976692462
120024,0.976663909
105958,0.976631438
127128,0.976471757
124485,0.976451818
129105,0.976278054
137089,0.976252451
127219,0.976155539
128724,0.976117545
103347,0.976014914
108761,0.975909691
117486,0.975784022
132090,0.975775504
142430,0.975774958
111835,0.97573005
107495,0.975705633
125170,0.97568029
139372,0.97565816
107557,0.97561164
108397,0.9755915
119956,0.975532652
103554,0.975517569
110322,0.975491487
125115,0.975465212
107909,0.975463687
113253,0.975333981
108751,0.975327829
141495,0.975255921
110849,0.975108917
131883,0.975061632
128988,0.975026593
139705,0.975018866
128259,0.974951987
112173,0.974936379
111646,0.974875561
123270,0.974836663
127684,0.974827697
111865,0.974755395
111160,0.974609478
106607,0.974338631
105876,0.974245297
